NOME;CIDADE;EMAIL ;CONTATO DE REFERENCIA ;TELEFONE
UNIDADE BÁSICA DE SAÚDE  ENDEREÇO: RUA MARECHAL CASTELO BRANCO, 601 SEBASTIANÓPOLIS DO SUL-SP;SEBASTIANÓPOLIS DO SUL-SP;sebasaude@hotmail.com;MAGALI CRISTINA TOFOLI CASADO - SECRETARIA DE SAUDE;(17) 38371238
UNIDADE BÁSICA DE SAÚDE - IARAS;IARAS;saude.iaras@outlook.com / crisebrayan@hotmail.com;CRISTIANE GUIMARÃES;(14) 997169625 / (14) 37641250
UNIDADE BÁSICA DE SAÚDE - ITABERÁ;ITABERÁ;ubs.itabera@hotmail.com;DAVIANA NAZARÉ DOS SANTOS;(15) 35622247
UNIDADE BÁSICA DE SAÚDE - LUIZIANIA;LUIZIANIA;saude@luiziania.sp.gov.br / josiel21_2015@outlook.com;JOSIEL;(18) 36031160
UNIDADE BÁSICA DE SAÚDE /ESF IROHY - BIRITIBA MIRIM;BIRITIBA MIRIM SP;ubsesfiroy@gmail.com / roselimoreira10@gmail.com;ISABELLA CANESCHI;(11) 46921397 / (11) 46926232
UNIDADE BÁSICA DE SAÚDE DA FAMÍLIA DE BILAC;BILAC SP;enfermagembilac@hotmail.com;SILVIA CRISTINA MENDES;(18) 36599220
UNIDADE BÁSICA DE SAÚDE/ESTRATÉGIA DE SAÚDE DA FAMILIA DE TAJUPÁ RUA: DOMINGOS SARTORI,34 CENTRO;TEJUPÁ;saude@tejupa.gov.sp.br;JACQUELINE GALVÃO ;(14) 33853201
UNIDADE DE PRONTO ATENDIMENTO - MOGI MIRIM;MOGI MIRIM;coord.admupa@gmail.com;LILIANA LEAL - COORDENADORA ;(19) 38623226 / (19) 38041011
UNIDADE MISTA - PRAÇA JOSÉ AYUB CALIXTO, Nº471, CENTRO, - SANTO ANTÔNIO DA ALEGRIA;SANTO ANTÔNIO DA ALEGRIA;hospsaa3@gmail.com;ANA PAULA CORSINI ELIAS DE OLIVEIRA;(16) 36681125
UNIDADE MISTA DE FERNANDO PRESTES - RUA CLELIA MACHADO DE FREITAS, Nº320, JARDIM SANTO ANTONIO;FERNANDO PRESTES;nasf@fernandoprestes.sp.gov.br;DANIELA APARECIDA ALVES DA CUNHA;(16) 32584100
UNIDADE MISTA DE SAÚDE  - PARDINHO;PARDINHO;ums@pardinho.sp.gov.br;TELMA DE OLIVEIRA;(14) 38861334
UNIDADE MISTA DE SAÚDE - CORONEL MACEDO;CORONEL MACEDO SP;servicosocial.saudecelmacedo@gmail.com / saude@coronelmacedo.sp.gov.br;JOSIELE DE PAULA SILVA REZENDE;(14) 998076323
"UNIDADE MISTA DE SAÚDE ""WANDERLEI MOACYR TORREZAN"" - RUA PROFESSOR PAULO DA SILVA COELHO, Nº 637, CENTRO";SALTINHO;direcao.saude@saltinho.sp.gov.br;PATRICIA RUSCHEL;(19) 34397710
UNIDADE MISTA DE SAÚDE DE TAIAÇU;TAIAÇU;unidademista@taiacu.sp.gov.br;ARIELLA DOS SANTOS BRAGA;(16) 996193477 / (16) 32751166
UPA - CERVEZAO;RIO CLARO SP;josyane5263@gmail.com  / servicosocial.upacvz@gmail.com;JOSIANE OU GABRIELA;(19) 996645047 / (19) 35337277
UPA - SAÚDE MENTAL SÃO JOSÉ DOS CAMPOS;SÃO JOSÉ DOS CAMPOS;upasaudemental@sjc.sp.gov.br / e.silveira.ednea@gmail.com;EDNEA VITORIA DA SILVEIRA;(12) 39319437
USF UNIDADE DE SAÚDE DA FAMILIA DE FERNÃO - RUA JOSE BONIFÁCIO N° 174 - CENTRO - FERNÃO- SP;FERNÃO;saude@fernao.sp.gov.br;ADRIANA P. FONSECA SANTOS CARGO: SECRETARIA MUNICIPAL DE SAÚDE ;(14) 32737176 / (14) 32737117
